name,country
Токио,Япония
Дели,Индия
Шанхай,Китай
Сан-Паулу,Бразилия
Мехико,Мексика
Каир,Египет
Мумбаи,Индия
Пекин,Китай
Дакка,Бангладеш
Осака,Япония
Нью-Йорк,Соединенные Штаты Америки
Карачи,Пакистан
Буэнос-Айрес,Аргентина
Чунцин,Китай
Стамбул,Турция
Калькутта,Индия
Манила,Филиппины
Лагос,Нигерия
Рио-де-Жанейро,Бразилия
Тяньцзинь,Китай
Киншаса,Демократическая Республика Конго
Гуанчжоу,Китай
Лос-Анджелес,Соединенные Штаты Америки
Москва,Россия
Шэньчжэнь,Китай
Лахор,Пакистан
Бангалор,Индия
Париж,Франция
Богота, Колумбия
Джакарта,Индонезия
Ченнаи,Индия
Лима,Перу
Бангкок,Таиланд
Сеул,Южная Корея
Нагоя,Япония
Хайдарабад,Индия
Лондон,Великобритания
Тегеран,Иран
Чикаго,Соединенные Штаты Америки
Чэнду,Китай
Нанкин,Китай
Ухань,Китай
Хошимин,Вьетнам
Луанда,Ангола
Ахмедабад,Индия
Куала-Лумпур,Малайзия
Сиань,Китай
Гонконг,Китай
Дунгуань,Китай
Ханчжоу,Китай